	단어	빈도	긍정	부정	중립
0	치킨	61	0	0	61
1	치즈볼	61	0	0	61
2	지금	61	0	0	61
3	학교	61	0	0	61
4	남자	61	0	0	61
5	학번	122	0	0	122
6	약대	61	0	0	61
7	경영	61	61	0	0
8	사회	122	122	0	0
9	원가회계	61	0	0	61
10	공부	122	0	61	61
11	신분	183	0	0	183
12	가치	61	61	0	0
13	개인	61	61	0	0
14	자유	61	61	0	0
15	투자	61	0	61	0
16	교수	289	0	61	228
17	포기	61	0	61	0
18	쪽문	122	0	0	122
19	지갑	61	0	0	61
20	붕어빵	61	0	0	61
21	스타일	61	0	0	61
22	행정학	61	0	0	61
23	개론	119	0	0	119
24	디자인	61	0	0	61
25	생활	61	0	0	61
26	랜소	62	0	0	62
27	예행	62	0	0	62
28	연습	62	0	0	62
29	전역	114	61	0	53
30	여친	61	0	61	0
31	구실	61	0	61	0
32	도서관	61	0	0	61
33	운동	61	0	0	61
34	종목	61	0	0	61
35	차이	61	0	0	61
36	영어	122	0	0	122
37	발음기호	61	0	0	61
38	분리수거	61	0	0	61
39	생각	122	0	0	122
