title	etime	content	vote	comment
배에 계속 가스차고 설사하면 장염임?	방금	ㅠㅠ	0	0
랜소	방금	성비안맞으면 동성끼리 매치될수도 있어?	0	0
와 긱사 룸메 그냥 실시간 레전드네	2분 전	친구도 없는지 주말내내 방에서 있는데 존나 시끄럽게 마우스 딸깍거리면서 롤하고 있네ㅋㅋㅋ 무슨 밖에 기온 한자리수로 떨어져도 창문에 방문까지 다	0	4
일반물리학 고수분들 모십니다.	2분 전	21번 문제에서 미소전기장 =k×r²\람다ds 잖아요 그럼 이걸 적분할 때 벡터성분에서 x성분은 상쇄되고 y성분만 구하면 되는거죠? 그리고 y성	0	3
대전역 긱사 택시탈사람	5분 전	있어? 나 줄서있음	0	2
얼굴로만	6분 전	아이유 정도면 충대 상위 몇 프로임?	0	2
시험기간에 꼭 봐야할 애니 top5	6분 전	1. 에반게리온 tva 2. 메이드 인 어비스 1,2 3. 소녀종말여행 4. 강철의 연금술사 오리지날 5. 카우보이 비밥  16학번이 강력추천	0	8
애플펜슬 쓰다가	6분 전	공책에 필기하는데 글씨 잘못쓰면 나도 모르게 펜 톡톡 두드리게되네	0	0
법학개론	8분 전	법학개론 낼 가야하는지 아시는 분	0	0
공부하기 싫어서 숨막혀 ㅠ	8분 전	하	0	2
ㅋㅋㅋ휴게소가면 아줌마들 걍들어오는데	8분 전	그건 왜 당연함? 공론화 매번해야됨?	0	0
도서관에서 공부하는 사람들	12분 전	도서관에서 연인을 만들려는 상상 한 번쯤 해보지 않음?	0	8
아쉬움	14분 전	시험까지 2일 남았고 공부하고 있는데 대면으로 강의들을때는 이해가 안갔는데  지금 보니깐 교수님이 말씀하신것도 떠오르고 이해가 가네요 개강할 때	0	3
택배 오배송	16분 전	택배 내 맞은편 건물로 잘못 배송했다고 기사님이 갖다준다거든..? 근데 그냥 내가 직접 가서 가져와도 되나?? 혹시나 신고할까봐 걱정돼서	0	1
ㄱㅈㅇ교수님 한국의역사 시험 언제야?	18분 전	김지영교수님 한국의역사 셤 언제야?	0	1
전자공 선배님들	19분 전	회로 1 버렸었고 2 지금 하는데 포기 일보 직전인데요... 전자공은 회로가 생명이죠...? 이번 겨울방학때 회로 다 준비해둬야 3학년 전자 회	0	2
김앤장vs태평양	19분 전	가슴이 웅장해진다... 근데 한바다는 왜 참전안함?	0	3
충대 다니면서 쪽팔린점	19분 전	제일 쪽팔렸던 일. 편입온 첫 해에 재학생 애들한테 학생회 들어갈 수 있냐고 물어본 거. 그 당시 학생회 애들 표정을 잊을수가 없다.. ㄹㅇ흑역	0	19
영어파트타임보조강사할만해?	22분 전	물류ㅈ같아서못해겟다 토익950  컴활잇으면가능한가	0	1
컴퓨터 검색기록 삭제하고픈데 어케함?	22분 전	구글은 아니고 그냥 쇼핑몰 사이튼데 검색창 클릭하면 전에 검색했던거 뜸	0	2
잘생기면 대체 뭐가 좋음?	23분 전	ㅡ	0	6
character table 이해가 안가네	24분 전	망했다 ㅍㅍ	0	0
주차자리	25분 전	맡았으니까 딴데가서 주차하라는게 뇌가 있으면 가능한 말과 행동인가...? 한문철티비에서 보던일이 나한테도 일어나다니...	0	6
법학개론	26분 전	낼 대면인가요,,,	0	0
여자화장실에서 남자나옴	26분 전	그건 바로 내 여사친임. 쌩얼일때 양상국 닮았어요	8	1
행정조직론	27분 전	10.26일 수요일날 휴강인가요?	0	0
시험 중에	28분 전	수업도 발표도 있는거 ㅈ같다	0	2
요즘 코로나검사	28분 전	돈받음??	0	2
여자화장실에서 남자나왔다는데	28분 전	왜 공론화 안되나	0	12
현생문 ㄱㅇㅈ 교수님	32분 전	필기 보여주실 분 계신가요 스타벅스 쿠폰 드릴게요 큐ㅠ	0	3
남자화장실에서 여자가 나온게 아니라	32분 전	여자화장실에서 남자가 나온거였냐	0	1
시험 재밌음?	33분 전	지금이 중간임 기말임?	0	1
경찰학개론	33분 전	내일 수업 하신댔음?	0	2
충전기 줄에 꿰어놓는거?	34분 전	동물캐릭터 입이랑 돈고로 줄 끼우는거 이름이랑 용도가 뭐야?	0	2
여기 애들 다 랜소 나가서	34분 전	성비 9:1 되는 거 보고싶다 개꿀잼일듯	0	2
아 낼모레 시험에다가 축제도있는데	37분 전	코로나걸린거같네	0	0
배그하는 사람 아무나 쓰셈	37분 전	.	0	4
나 살 빼면	38분 전	진 느낌 나는데 다이어트 해?	0	6
금요일에 밭대 축제 같이 갈 사람	38분 전	프로미스나인 보고싶은데 같이 가실 분	0	2
재정학 미친듯	38분 전	양 너무 많은 와중에 내일 시험인데 오늘 기출문제 더 주신거 미침	0	0
여자님들 진짜 이게 잘생겼어요?	39분 전	.	0	8
나도 강남클럽이나 핫플가서	41분 전	동물의왕국 맹키로 놀아보고싶다	0	3
여행	41분 전	여자친구랑 처음 가보는데 보통 비니지스 호텔도 가..? 서울 호텔 추천 해주라	0	3
에타 쪽지로	42분 전	랜소 연습할사람 ~~	0	1
여자들아	46분 전	너네는 조각같이 잘생긴 남자가 끌려 편한인상인데 잘생긴 남자가 끌려 예를 들면 뷔 vs 정해인	0	14
궁금해서 그러는데 남자중에	52분 전	게임 안하고 담배 안피고 술 잘 안마시고(못마시는게 아니라 그냥 잘 안마시는) 애니 안보고 누가봐도 예의바르고(욕 안쓰고 부모님 등 어른들께 잘	0	74
랜덤소개팅에서 친구 만나면	53분 전	어떡하냐? 아니면 친구는 아닌데 그냥 서로 얼굴은 아는 사이인 사람 혹은 비즈니스 관계	0	2
눈을 떠도 눈을 감아도	54분 전	앞이 보이지 않아 이게 내 미래인가	1	0
엑셀 잘하는 사람 있음?	59분 전	맞는 것 같은데 원하는 대로 값이 안 나오네	0	4
나 인기 어떡하냐..	10/23 20:58	혼자 다니려 해도 자꾸 애들이 들러붙고  혼자 벤치에 앉아 있는데 여자애들이 번호따가네… 귀찮다. 나좀 내버려 두지	0	4
영어의미와 활용	10/23 20:56	들으시는 분!!!	0	1
컴입 ㅎㅇㅇ 과제 진짜 ..하..	10/23 20:55	너무하다 지금 욕하면서 푸는 중  하나도 모르겠어 어질어질	0	5
가천대랑 충남대랑 어디가 입결 더 높음?	10/23 20:53	ㅈㄱㄴ	0	12
연세옥수수크림빵 이거이거	10/23 20:48	이거 레어한거 맞지? 그치? 먹어보고 후기 남길게	0	6
Attention하면 무슨 생각남?	10/23 20:48	?	0	6
커피 뭐가 더 달아?	10/23 20:47	콘트라베이스 라떼 크래프트 카페라떼 바리스타롤스 라떼	0	0
ㅠㅠ	10/23 20:44	집에서 진격의거인 보다가 아빠한테 너무 빠지지말라는 소리 들음ㅋㅋㅋㅋㅋ	0	3
지금 시기에 수업 드랍하는 방법은 없지?	10/23 20:42	ㅎ 아 포기하고싶네?	1	4
20~30만원남자향수 추천좀	10/23 20:40	선물용	0	6
수현이 생각하는 찬혁	10/23 20:39	찬혁이 욕하지 말고 니들 앞가림이나 해라	5	6
난생 처음으로 현질해버렸다	10/23 20:39	게임에 현질은 절대 안한다는 신조였는데ㅠㅜ 현타온다 만원이나 써버림..... 고작 심심풀이 땅콩용 게임에... 아까워	0	4
축제 라인업	10/23 20:39	인스타 어떤 계정에 뜬거야?? 왜 안보이지	0	2
스파이패밀리 보면 씹덕임?	10/23 20:39	ㅈㄱㄴ	0	6
투자론 ㅈㅎㄱ 교수님	10/23 20:37	문제 몇 문제 나온댕?	0	0
치즈뷸닭볶음면	10/23 20:36	파스타  뭐먹지..	0	2
사회적 가치 ㄹㄱㅎ	10/23 20:35	시험 몇시시작이야	0	6
지금 급한데	10/23 20:34	함 할 사람? 나 잘함	1	9
방학때 알바하면 보통 얼마씩 벌어?	10/23 20:33	순수 버는거만 쓰는거 말구	0	4
전자공 회로이론2	10/23 20:31	나만 ㅈ된거 아니지?	0	5
게임하는 남자 거르는데	10/23 20:28	그러면 한 80프로 걸러지나..?	0	19
나랑	10/23 20:27	공장 들어갈 사람	0	1
소비자법과정책	10/23 20:26	양 개 많은데 10문제정도밖에 안나오는거 실화냐..	0	0
잠자는걸 정말 좋아하지만	10/23 20:26	동시에 잠 안자도 살수있었음 좋겠다..  자는 시간이 너무 아까워	1	1
피자를 시킬까말까시킬까말까	10/23 20:24	고민된다 으아아아악	0	4
엘리자벳	10/23 20:23	대전 안오는거 너무아쉽다.. 한번도 못봐서 조소 싶었는데 이번이 마지막이라는ㄷ	0	0
유셀관리 해본사람	10/23 20:23	있나요	0	0
등드름 없애는 데 도움되는 바디워시 추천 좀	10/23 20:22	운동시작하고 났는데 안 없어짐 ㅠㅠ	0	6
기초물리학2 ㅇㅈㅎ교수님	10/23 20:22	시험 언제봄?	0	0
범진오 녹화 있는 사람 ㅠㅠ 깊티...드릴게요	10/23 20:19	ㅠㅠ	0	29
같이 전공 듣는 사람중에	10/23 20:18	맨날 혼자다니는데 공부 열심히 하는것같은 사람있는데 그 사람이 내 경쟁자임 무조건 그사람보다는 잘볼거임 1등할거임	0	15
시험 잘친듯	10/23 20:16	키-타~	0	3
다메다네~ 다메나노요~	10/23 20:14	이 노래 알면 씹덕임?	0	5
밥 먹는데 마감 하는데 왜 안 나가냐는듯이	10/23 20:13	청소 시끄럽게 하는 거 너무 기분 나빴다...ㅜㅜ 다시는 거기 안 갈래...	0	1
회계의이해 01반	10/23 20:12	이번주 수업 비대면 아니지 ?? 그 중간 끝나고부터? 올대면이라고 하신 거죠 ??	0	0
나 불치병 걸린듯 ㅅㅂ...	10/23 20:12	롤토체스 골드4에서 못빠져나오는중 골5 0 50 0 50 0 50 무한 로테이션중; ... 지난시즌 플1이었는데 이번 시즌은 거의다 첨보는 챔이	0	2
에타보다가 이런걸봤네 아 ㅋㅋ	10/23 20:11	짜파게티가 어떻게 ㅋㅋ	0	4
거시경제원론	10/23 20:06	다들많이공부했음?	0	0
충남대 구인구직 게시판 있다는걸	10/23 20:05	22살 먹은 나만 이제야 안거야?	0	3
우울증 약 먹으면 기분 좋아져?	10/23 20:03	?? 어떻게 돼??	0	17
